championship Title,Match Week,Team A,Team B,Score,Time
الدوري المصري,الأسبوع الأول,زد,الإسماعيلي,1 - 0,16:00
الدوري المصري,الأسبوع الأول,الأهلي,المصري,4 - 0,19:00
دوري أبطال أوروبا,الجولة الاولي,ميلان,نيوكاسل,0 - 0,19:45
دوري أبطال أوروبا,الجولة الاولي,يانج بويز,لايبزيج,1 - 3,19:45
دوري أبطال أوروبا,الجولة الاولي,فينورد,سلتيك,1 - 0,22:00
دوري أبطال أوروبا,الجولة الاولي,لاتسيو,اتلتيكو مدريد,0 - 1,22:00
دوري أبطال أوروبا,الجولة الاولي,ب. س. جيرمان,بروسيا دورتموند,2 - 0,22:00
دوري أبطال أوروبا,الجولة الاولي,مانشستر سيتي,سرفينا زافيزدا,3 - 1,22:00
دوري أبطال أوروبا,الجولة الاولي,برشلونة,رويال أنتويرب,5 - 0,22:00
دوري أبطال أوروبا,الجولة الاولي,شاختار دونيتسك,بورتو,1 - 3,22:00
دوري أبطال آسيا,الجولة الاولي,يوكوهاما مارينوس,انشيون يونايتد,2 - 4,13:00
دوري أبطال آسيا,الجولة الاولي,أولسان هيونداي,باثوم يونايتد,3 - 1,13:00
دوري أبطال آسيا,الجولة الاولي,كايا,شاندونج تايشان,1 - 3,15:00
دوري أبطال آسيا,الجولة الاولي,جوهور دارول تاكزيم,كاواساكي فورنتال,0 - 1,15:00
دوري أبطال آسيا,الجولة الاولي,باختاكور,العين,0 - 3,17:00
دوري أبطال آسيا,الجولة الاولي,نادي أهال,الفيحاء,1 - 0,19:00
دوري أبطال آسيا,الجولة الاولي,استقلال دوشنبه,الدحيل,0 - 0,19:00
دوري أبطال آسيا,الجولة الاولي,بيروزي,النصر,0 - 2,21:00
